itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
joyul,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psrutiq,2,rutiq,26,,動詞,,False
tqari,1,tqari,3,,動詞,,False
skenux,12,skenux,36,,動詞,,False
ninzing,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
onggaku,1,onggaku,1,,名詞,,False
ptlhelah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nayan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bicun,3,bicur,3,,名詞,bicun,True
smdurak,10,sdurak,22,主事焦點,,,False
diyan,20,diyan,21,,名詞,,False
kmbarux,8,kbarux,47,主事焦點,,,False
gluun,4,gaalu,38,受事焦點,,,False
sskuwan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
prehun,2,peruh,8,受事焦點,,,False
qhedu,5,qhedu,94,,動詞,,False
gyeun,2,geyu,13,受事焦點,,,False
bungi,1,ubung,19,受事焦點,,,False
ttui,2,tutuy,38,受事焦點,,,False
ksaro,1,ksaro,3,,動詞,,False
phdage,1,hido,104,受事焦點,,,False
pstuku,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sstimu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mntakun,9,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mimah,41,imah,125,主事焦點,,miimah,False
mang,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
srkunux,3,srkunux,3,,名詞,,False
mpusan,4,,10,,名詞,,False
mkure,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnsqedin,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
srrapung,1,rapung,4,參考焦點,,,False
qulung,9,qulung,16,,動詞,,False
baysyuring,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lmiwaq,1,liwaq,7,主事焦點,,,False
paran,41,Paran,41,,名詞,,False
pnkriyux,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sqriyun,2,squri,23,受事焦點,,,False
koto,1,koto,1,,名詞,,False
jabural,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kunaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pgluwe,4,pgluwe,10,,其它,pluwe,False
mnllamu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pqapah,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
seno,38,seno,38,,名詞,,False
plixan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snceecu,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
baki,44,baki,54,,名詞,,False
pltude,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
eyux,3,eyux,27,,動詞,,False
gmhei,1,hei,13,主事焦點,,,False
bnuhun,9,Bnuhun,9,,名詞,,False
ngerac,19,ngerac,19,,其它,,False
nexan,2,nexan,2,,其它,,False
tatuk,2,tatuk,3,,名詞,tmatuk,False
pdai,3,oda,499,受事焦點,,,False
kduruk,4,kduruk,4,,名詞,,False
keeman,81,keeman,100,,其它,,False
kbegax,1,begax,8,,名詞,,False
btunux,99,btunux,100,,名詞,,False
nnkure,1,kure,6,零焦點標記,,,False
mkmalah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
holo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
heruc,1,heruc,3,,多重詞性,,False
knkucu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mbushi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bohu,1,bohu,1,,名詞,,False
thngelan,1,hungul,18,處所焦點,,,False
qyuxun,1,quyux,84,受事焦點,,qyuxun,True
duhun,3,uduh,8,受事焦點,,,False
tsiyus,2,tsiyus,20,,動詞,,False
paras,7,paras bale,7,,名詞,paras,True
msika,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkucu,1,kucu,26,零焦點標記,,,False
trae,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
syukun,1,suyuk,13,受事焦點,,,False
snsiqa,1,siqa,22,零焦點標記,,,False
krkii,1,kraki,4,受事焦點,,,False
hgetun,1,heguc,9,受事焦點,,,False
lexun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
slhai,3,sluhe,32,參考焦點,,,False
mgnetun,4,netun2,59,受事焦點,,,False
siki,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnsdehu,6,sdehu,11,零焦點標記,,,False
mpqqehur,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
undo,2,undo,2,,名詞,,False
amuy,3,amuy,3,,名詞,,False
satang,6,satang,6,名詞性標記,,,False
utoho,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sphuma,3,phuma,176,參考焦點,,,False
kdhaye,1,daha1,125,零焦點標記,,,False
kntaani,4,knteetu,18,參考焦點,,,False
mnkeeman,1,keeman,100,零焦點標記,,,False
laalang,3,alang,358,名詞性標記,,,False
mqidianl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mphuqil,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ndhekan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
nini,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smdiyal,1,sdiyal,36,主事焦點,,,False
thrigan,1,theruy,36,處所焦點,,,False
tssagun,1,saso,35,受事焦點,,,False
mttilux,8,ktilux,55,主事焦點,,,False
phmaun,15,phuma,176,受事焦點,,,False
sae,14,osa,1002,處所焦點,,hae,False
pgedang,3,gedang,43,主事焦點,,,False
gedang,10,gedang,43,,動詞,,False
hamerika,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
trigun,2,taruy,9,受事焦點,,,False
kmacuy,1,kacuy,6,主事焦點,,,False
pkcuun,1,kucu,26,受事焦點,,,False
spoosa,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
