itemname,item_freq,wordroot,root_freq,focus,wordclass,variant,modified
pnddayo,1,dayo,100,受事焦點,,,False
hriqun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bglingun,1,beling,57,受事焦點,,,False
snrhuqan,2,rahuq,22,,名詞,,False
rekisi,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gnuuqu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ssepu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rseno,169,rseno,174,,名詞,,False
srmui,1,rumu,17,受事焦點,,,False
tnkuyan,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hmeruc,1,heruc,3,主事焦點,,,False
mprbagan,1,rbagan,10,名詞性標記,,,False
mssnegul,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smkagul,3,skagul,15,主事焦點,,,False
pneeyah,4,eyah,417,受事焦點,,,False
kseyang,2,seyang,80,,動詞,,False
kuromame,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ptara,1,tara,43,零焦點標記,,,False
mgtoda,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smgila,5,sgila,16,主事焦點,,,False
mqiyuc,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
surung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rbuxe,1,rubux,2,受事焦點,,,False
pgimax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
budu,1,budu,4,,動詞,,False
mbahang,29,qbahang,70,主事焦點,,,False
ckcakus,1,cakus,17,零焦點標記,,,False
psrtiqi,1,rutiq,26,,名詞,,False
bncbacan,2,bcebac,8,參考焦點,,,False
qnhqilun,1,huqil,57,受事焦點,,,False
pglaan,1,geela,17,處所焦點,,,False
seedan,8,seedan,8,,動詞,,False
quyax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hadan,1,haduc,20,處所焦點,,,False
ure,1,ure,12,,動詞,,False
ngalun,53,angal,424,受事焦點,,,False
mnrqeraq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rbegi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
btuli,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kanbo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gbehi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snbgihur,1,bgihur,48,零焦點標記,,,False
mmkela,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
yiml,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
khaya,4,khaya,4,,其它,,False
dengwa,1,dengwa,1,,名詞,,False
jzikangl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhuni,3,,10,,動詞,,False
ri,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kntteun,3,knteetu,18,受事焦點,,,False
qbhuni,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
shetun,1,hetur,12,參考焦點,,shetun,True
rih,15,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gurail,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dahung,3,dahung,3,,名詞,,False
qatun,1,qatul,2,,名詞,qatun,True
buyak,1,buyak,13,,動詞,,False
dngao,1,danga,30,受事焦點,,,False
papak,89,papak,90,,名詞,,False
pnsepac,1,sepac,27,名詞性標記,,,False
pnngalan,4,angal,424,處所焦點,,,False
pccehaq,1,cehaq2,6,零焦點標記,,,False
cghuur,3,cghuur,10,,動詞,cghuun; cghuul,False
skkuung,1,kuung,13,參考焦點,,,False
tnaapa,4,apa,187,零焦點標記,,,False
cyawcuya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sqrahuq,1,rahuq,22,參考焦點,,,False
hhaan,4,osa,1002,處所焦點,,ssaan,False
nabu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lepix,1,lepix,1,,名詞,,False
lmui,3,lamu,83,受事焦點,,,False
tricuh,1,ricuh,24,受事焦點,,,False
ghii,1,hei,13,名詞性標記,,,False
uh,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ko,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
prbangun,2,rabang,26,受事焦點,,,False
ddheran,8,dheran,189,名詞性標記,,,False
ui,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
capil,1,capil,4,,動詞,capin,False
tnukuy,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
toqun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cyuki,1,ciyuk,31,受事焦點,,,False
spaani,1,apa,187,參考焦點,,,False
snlayan,3,sdiyal,36,處所焦點,,,False
lngelung,10,lngelung,154,,動詞,,False
lmgelu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
neyah,8,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pdsanun,1,adis,228,受事焦點,,,False
caman,4,caman,8,,其它,,False
tgkingal,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mqedil,55,mqedil,192,,名詞,mqedin,False
wamin,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bgiya,7,bgiya,7,,名詞,,False
ddulan,1,dudul,45,處所焦點,,,False
bungan,4,ubung,19,處所焦點,,,False
qdhequ,1,dhequ,4,,動詞,,False
mppriyux,1,riyux,52,主事焦點,,,False
hmeru,14,heru,20,主事焦點,,,False
smeeliq,14,seeliq,24,主事焦點,,smeelaq,False
mkmusa,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mdira,1,kdira,7,主事焦點,,,False
congtonghuweyenhuwe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
srteruc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qhdeyun,2,qhedu,94,受事焦點,,qdeyun; qdeun,False
qudug,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ttqiyun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rwaqun,1,rawiq,10,受事焦點,,,False
rneus,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gbingun,1,gebin,5,,動詞,,False
kbarux,1,kbarux,47,,動詞,,False
mafanl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
spaux,6,paux,7,受事焦點,,,False
srbugun,1,-rubu-,10,受事焦點,,,False
rya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pneruq,1,peruq,21,受事焦點,,,False
peyah,4,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pdhekun,2,dehuk,161,受事焦點,,,False
teebun,3,ebun,7,零焦點標記,,,False
lmihu,2,lihu,16,主事焦點,,,False
qahur,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkuudus,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qrasun,9,qaras,67,受事焦點,,,False
slbiyun,1,slebi,6,受事焦點,,,False
malux,11,malux,2122,,動詞,ma,False
skkure,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kmciyuk,4,ciyuk,31,主事焦點,,,False
plpaxi,1,lepax,18,受事焦點,,,False
snbreenux,1,breenux,16,參考焦點,,,False
pthuwe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qrubi,1,qrubi,1,,名詞,,False
biqe,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnglaan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bluqun,16,bluqun,16,,名詞,,False
phlagun,1,hilo,24,受事焦點,,,False
muyuh,1,buyuh,11,主事焦點,,,False
bkeyan,1,bekuy,29,處所焦點,,bkean,False
gaaluk,1,galuk,7,,名詞,,False
kbekuy,12,kbekuy,12,,名詞,,False
mnesa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mrriyux,2,riyux,52,主事焦點,,,False
mteeyux,6,eyux,27,主事焦點,,,False
pgmaxun,3,gimax,25,受事焦點,,,False
abis,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bunruy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
betaq,54,betaq 2,78,,動詞,,True
uuka,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mptheruy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
stkelang,1,stkelang,2,,動詞,,False
mgigi,1,gigi,3,主事焦點,,,False
pgdangun,3,gedang,43,受事焦點,,,False
sncungcu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mrumu,2,mrumu,2,,其它,,False
llnguwan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkere,1,kkere,25,,動詞,,False
thiqan,3,theyaq,89,處所焦點,,thiqan,True
pradu,7,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pllingan,1,laling,25,處所焦點,,,False
jdaytayl,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
steetu,4,kteetu,9,參考焦點,,,True
mkdesun,1,adis,228,受事焦點,,,False
tmgesa,30,tgesa,76,主事焦點,,,False
marac,1,arac,2,,動詞,,False
qita,18,qita,690,,動詞,,False
ake,1,ake,1,,其它,,False
knkniyan,1,kuni,13,處所焦點,,,False
iyo,1,iyo,11,,動詞,,False
jkogakol,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kurusi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psqapah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bcebac,1,bcebac,8,,動詞,,False
tmremux,5,remux,23,主事焦點,,,False
mosa,315,osa,1002,主事焦點,,musa,False
kbeyax,16,beyax,128,零焦點標記,,,False
mnteru,5,teru,97,主事焦點,,,False
mmqedin,1,mqedil,192,零焦點標記,,,False
tbneyan,2,tbenu,6,處所焦點,,,False
yah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mqpudi,4,qpudi,5,主事焦點,,,False
qdriqun,1,qduriq,33,受事焦點,,,False
pdheke,1,dehuk,161,處所焦點,,,False
lexi,27,lexi,27,,名詞,,False
prana,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnaduk,1,aduk,18,主事焦點,,,False
hiryo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mutaq,1,utaq,2,主事焦點,,,False
poxun,1,opux,3,受事焦點,,,False
rosuhu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
skripuc,2,skripuc,3,,動詞,,False
tutijihaiyi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pkrangi,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knseung,3,knseung,3,,名詞,,False
pmahun,2,imah,125,受事焦點,,,False
pgrebu,1,grebu,2,零焦點標記,,,False
angan,2,angal,424,零焦點標記,,angan,True
eyyo,1,eyyo,1,,名詞,,False
sglaun,1,sgila,16,受事焦點,,,False
mrqeraq,2,rqeraq,7,主事焦點,,,False
mnais,3,-nais-,10,主事焦點,,,False
pqeerung,1,qeerung,17,零焦點標記,,,False
maka,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mstheya,1,theya,23,主事焦點,,,False
galuk,1,galuk,7,,動詞,,False
sngipu,1,gipu,4,主事焦點,,sn-gipu,False
pksepac,1,sepac,27,名詞性標記,,,False
bgaxun,1,begax,8,受事焦點,,,False
mnccebu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tburo,2,tburo,2,,名詞,,False
preus,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
druri,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mege,18,bege,104,主事焦點,,,False
kanteng,1,kanteng,1,,名詞,,False
cbuun,1,cebu,84,受事焦點,,,False
hnpurayan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rhequn,2,rehaq 1,12,受事焦點,,,False
pawn,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gmarang,4,garang,9,主事焦點,,,False
mstemaq,2,temaq,4,主事焦點,,,False
rai,5,rai2,5,,名詞,,True
pnuqan,8,uqi,231,處所焦點,,pnuqal,False
skmangis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cwaqan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kudung,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ssaun,8,osa,1002,零焦點標記,,ssaun,True
pbrasun,1,beras,26,受事焦點,,,False
mswae,3,swae,7,主事焦點,,mswaye,False
puro,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gungu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
wanglezhegel,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sapo,6,sapo,20,,動詞,,False
snteran,5,setur,33,處所焦點,,,False
bunux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hurah,1,hurah,14,,動詞,,False
mbbaruy,4,baruy,137,主事焦點,,,False
aangal,1,angal,424,,名詞,aangan,False
mskeruy,1,skeruy,2,主事焦點,,,False
mnsnpusan,1,-pusan-,3,主事焦點,,,False
ggui,1,geeguy,17,受事焦點,,,False
awe,21,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tuni,1,tinun,170,,名詞,,False
nriso,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tmatak,11,tatak,23,主事焦點,,,False
trcagan,1,ruco,12,處所焦點,,,False
gyei,3,geyu,13,受事焦點,,,False
thgeluq,1,hgeluq,5,零焦點標記,,,False
gncahu,1,-cahu-,6,參考焦點,,,False
dulec,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
prparu,6,paru,356,零焦點標記,,,False
tena,17,tena,17,,其它,,False
bbkeyan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
geego,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ki,52,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
psruwa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
don,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mhqeni,3,qhqeni,6,主事焦點,,,False
karic,4,karic,4,,動詞,,False
maml,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
botang,3,botang,3,,名詞,,False
mgceas,2,mgceas,2,,動詞,,False
spegan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pqyexi,1,quyux,84,受事焦點,,,False
sm,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
haluy,1,haluy,9,,動詞,,False
derang,1,derang,1,,名詞,,False
pqyaqi,1,qeyaq,8,受事焦點,,,False
sero,6,sero,6,,名詞,,False
mpgquri,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dayuc,2,dayuc,2,,名詞,,False
mpcula,2,cula,13,主事焦點,,,False
ngayus,2,ngayus,2,,名詞,,False
mian,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pcngai,1,cenga,8,受事焦點,,,False
sragu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
skpawan,6,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pnuutux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lleexan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dndulan,2,dudul,45,處所焦點,,,False
kneruc,1,keruc,38,受事焦點,,,False
knbeyax,16,beyax,128,受事焦點,,,False
pndngusi,2,dungus,41,受事焦點,,pn-dngusi,False
pkuuka,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dhekun,4,dehuk,161,受事焦點,,,False
tloongun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
thmuku,8,thmuku,8,,動詞,,False
strima,3,trima,24,參考焦點,,,False
pskraya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
luwa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bnleqan,1,bleyaq,76,處所焦點,,,False
pyupi,1,iyuk,23,受事焦點,,,False
slabu,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
barah,4,barah,21,,動詞,,False
smaruk,3,saruk,10,主事焦點,,,False
sipan,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
thetyaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
plbuun,1,labu,14,受事焦點,,plabu,False
knparu,13,paru,356,零焦點標記,,,False
kmekun,4,kmekul,38,,動詞,kmekun,True
hanzikang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnheyu,1,heyu,93,主事焦點,,,False
tannir,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smbeyax,3,beyax,128,參考焦點,,,False
mstuku,3,stuku,17,主事焦點,,,False
nomin,9,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
uruh,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tnuting,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kniyan,2,kuni,13,受事焦點,,,False
dqiyaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
paw,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkerung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pngteguc,2,gteguc,7,受事焦點,,pn-gteguc,False
pthulang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
seban,3,seban,5,,名詞,,False
gmihu,1,gihu,4,主事焦點,,,False
gqiyan,11,geqi,23,處所焦點,,,False
mahan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mpthido,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mngihur,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sppaadis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lani,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
palah,1,palah,6,,動詞,,False
msnegun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hayrazu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sqwaqan,1,quwaq,49,處所焦點,,,False
kbunuh,1,bunuh,52,主事焦點,,,False
sokiya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qmiri,1,qiri,32,主事焦點,,,False
ckue,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ppuqun,42,uqi,231,受事焦點,,ppuqul,False
aasu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kkrawan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
steqi,1,setuq,20,受事焦點,,,False
ayus,8,ayus,19,,多重詞性,,False
mgmqedin,1,mqedil,192,主事焦點,,,False
ngihun,1,ngihun,15,,動詞,,False
puga,2,puga,2,,名詞,,False
pehing,3,pehing,14,,多重詞性,,False
bnahangan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bbrigan,8,baruy,137,處所焦點,,,False
huwei,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
takur,5,takur,196,,動詞,takun,False
spagun,2,sapo,20,受事焦點,,,False
kskenux,3,skenux,36,零焦點標記,,,False
knchedil,3,chedil,26,零焦點標記,,,False
raus,6,raus,9,,名詞,,False
tucaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snguc,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pqsetuq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qnbrungan,1,qburung,12,處所焦點,,,False
hmebuy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
sgliqan,1,galiq,39,處所焦點,,,False
hliyo,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tmulan,1,tamun,7,處所焦點,,,False
sslingan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ksuwak,1,ksuwak,3,,動詞,,False
cmehaq,5,cehaq2,6,主事焦點,,,True
tteheruy,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kure,2,kure,6,,動詞,,False
ira,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gteguc,1,gteguc,7,,動詞,,False
butur,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gmabul,2,gabul,20,主事焦點,,,False
prbangi,1,rabang,26,受事焦點,,,False
sqlahang,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bbaro,33,bbaro,44,,多重詞性,,False
mekorencyun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
laxi,13,alix,95,受事焦點,,laxi,True
mphuma,5,phuma,176,主事焦點,,,False
bateri,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tqui,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kqita,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smekun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kmbagah,1,bagah,30,主事焦點,,,False
taicu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jnogio,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
bang,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
l,348,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tmabur,1,tabul,12,主事焦點,,tmabur,True
gnhigan,2,gihu,4,處所焦點,,重複(換例子),False
pkragi,1,karo,23,受事焦點,,,False
slbii,2,slebi,6,受事焦點,,,False
wotosu,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
dayo,2,dayo,100,,動詞,,False
sahala,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
jjyuuni,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smparu,1,paru,356,主事焦點,,,False
lqlaqi,15,laqi,1021,零焦點標記,,,False
pgkari,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gcahu,3,-cahu-,6,主事焦點,,,False
mkrmange,1,range,20,主事焦點,,,False
pgtequn,1,pgetuq,2,受事焦點,,,False
brtingan,2,Brtingan,2,,名詞,,False
hwiras,3,hwiras,3,,名詞,,False
mtbaso,1,mtbaso,1,主事焦點,,,False
nabis,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qlhangan,2,qlahang,61,處所焦點,,,False
sincizu,1,sincizu,1,,名詞,,False
tisingl,7,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rungun,1,urung,20,受事焦點,,,False
pqyuxan,1,quyux,84,處所焦點,,,False
munaq,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
byugu,2,byugu,2,,名詞,,False
bnari,17,baruy,137,受事焦點,,,False
phiti,2,hiti,45,受事焦點,,,False
mnangal,9,angal,424,主事焦點,,,False
witan,1,uwic,15,處所焦點,,,False
mhrenang,4,hrenang,40,主事焦點,,,False
truqi,1,turuq,11,受事焦點,,,False
mtduwa,9,tduwa,23,主事焦點,,？,False
pnhqilun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kngaya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
cdcida,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
liwas,13,liwas,13,,名詞,,False
detama,17,tama,502,名詞性標記,,detama,True
splukus,1,lukus,268,參考焦點,,,False
pphuma,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
smino,9,sino,90,主事焦點,,,False
mpprading,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hmurah,1,hurah,14,主事焦點,,,False
qrapi,3,qerac,25,受事焦點,,,False
qeepah,9,qeepah,228,,動詞,keepah,False
bebe,10,bebe,11,,名詞,,False
lwaqun,1,liwaq,7,受事焦點,,,False
pnlaling,1,laling,25,受事焦點,,,False
dmeqo,1,deqo,5,主事焦點,,,False
mpprengo,10,rengo,215,主事焦點,,,False
tyusun,1,ayus,19,受事焦點,,,False
taitong,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
phtii,1,hiti,45,受事焦點,,,False
mpgimax,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hbangan,2,hbangan,2,,名詞,,False
qlapo,28,qlapo,28,,名詞,,False
pntasan,13,patis,219,處所焦點,,,False
eruc,36,eruc,37,,名詞,,False
psgagi,1,gagi,19,受事焦點,,,False
ndaan,124,oda,499,主事焦點,,,False
psai,37,paha,532,受事焦點,,,False
sqrelun,1,qerul,9,受事焦點,,,False
kweko,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hbaro,20,hbaro,21,,其它,,False
mremun,11,remun,11,主事焦點,,,False
mnarux,112,knarux,120,主事焦點,,,False
sryuxi,1,riyux,52,受事焦點,,,False
yami,86,yami,91,,名詞,,False
icu,8,icuw,52,,動詞,icu,True
kmdakan,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qnqahan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mpkmekun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
hmneru,3,heru,20,主事焦點,,,False
pphengun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
ktilux,3,ktilux,55,,動詞,,False
came,9,came,9,,名詞,,False
mrmarah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
kenu,34,kenu,35,,動詞,ginu,False
jkesabal,5,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
rrigan,1,rgeruy,5,處所焦點,,,False
pnslhayan,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knhenuk,1,henuk,23,受事焦點,,,False
qtai,41,qita,690,受事焦點,,tai,False
bkeluy,1,bkeluy,1,,名詞,,False
rmgeruy,2,rgeruy,5,主事焦點,,,False
psdayak,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qbciqun,1,biciq,133,受事焦點,,,False
psmyah,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tkseung,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
truling,1,truling,1,,名詞,,False
tmaquy,3,tmaquy,3,,名詞,,False
psalu,2,salu,189,零焦點標記,,,False
thrigi,1,theruy,36,受事焦點,,,False
psmyahi,1,eyah,417,,名詞,,False
hediq,1,hediq,12,,動詞,,False
gbulan,6,gabul,20,處所焦點,,,False
ldaxan,1,ledax,24,處所焦點,,,False
spriyux,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snhaya,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
gmuki,2,gemuk,21,受事焦點,,,False
knbegax,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
capa,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snpusan,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
lmuliq,2,lmuliq,2,,名詞,,False
dmudul,3,dudul,45,主事焦點,,dmudun,False
pbrihun,1,berih,46,受事焦點,,,False
kklaan,5,kela,519,受事焦點,,,False
paq,5,paq,5,,動詞,,False
ddeeran,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mlukus,19,lukus,268,主事焦點,,,False
snpegan,8,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
pgualng,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
plebun,1,eluk,27,受事焦點,,,False
sqatan,1,qatan,6,參考焦點,,,False
puto,4,puto,4,,名詞,,False
kdesun,2,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
knsekuy,3,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
qbsiyaq,9,bsiyaq,71,零焦點標記,,,False
srwaun,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
srbuge,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
mnsngali,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
snchedin,1,NoRoot,0,NoFocus,NoWordClass,NoVariant,False
tqpuruh,3,qpuruh,8,名詞性標記,,,False
texan,25,texal,59,,其它,texan,True
snklaan,1,skela,15,處所焦點,,,False
pmahi,2,imah,125,受事焦點,,,False
cnkaan,1,ceka,60,處所焦點,,,False
jyabong,1,jyabong,1,,名詞,,False
uruk,12,uruk,12,,名詞,,False
qliti,1,qilic,7,受事焦點,,,False
